X;13;13,1;13,2;13,3;13,4;13,5;13,6;13,7;13,8;13,9;14;14,1;14,2;14,3;14,4;14,5;14,6;14,7;14,8;14,9;15;15,1;15,2;15,3;15,4;15,5;15,6;15,7;15,8;15,9;16;16,1;16,2;16,3;16,4;16,5;16,6;16,7;16,8;16,9;17;17,1;17,2;17,3;17,4;17,5;17,6;17,7;17,8;17,9;18;18,1;18,2;18,3;18,4;18,5;18,6;18,7;18,8;18,9;19;19,1;19,2;19,3;19,4;19,5;19,6;19,7;19,8;19,9;20;20,1;20,2;20,3;20,4;20,5;20,6;20,7;20,8;20,9;21;21,1;21,2;21,3;21,4;21,5;21,6;21,7;21,8;21,9;22;22,1;22,2;22,3;22,4;22,5;22,6;22,7;22,8;22,9;23
0;115,06;112,02;109,03;106,08;103,18;100,33;97,52;94,77;92,06;89,4;86,79;84,23;81,71;79,24;76,82;74,45;72,13;69,85;67,62;65,44;63,31;61,23;59,19;57,21;55,27;53,38;51,53;49,74;47,99;46,29;44,64;43,04;41,48;39,97;38,51;37,1;35,74;34,42;33,16;31,94;30,77;29,64;28,57;27,54;26,56;25,63;24,75;23,91;23,13;22,39;21,7;21,05;20,46;19,91;19,41;18,96;18,56;18,2;17,9;17,64;17,43;17,26;17,15;17,08;17,06;17,09;17,17;17,29;17,47;17,69;17,96;18,27;18,64;19,05;19,51;20,02;20,58;21,18;21,84;22,54;23,29;24,09;24,93;25,82;26,77;27,75;28,79;29,88;31,01;32,19;33,42;34,7;36,02;37,4;38,82;40,29;41,81;43,37;44,99;46,65;48,36
1;121,5;119,54;116,03;112,99;110,23;107,73;105,06;102,01;99,14;96,66;93,9;91,08;88,18;86,33;83,28;81,01;78,8;76,45;73,82;71,5;69,2;66,79;65,16;63,47;62,01;59,67;57,71;56,07;54,5;52,55;50,56;48,95;47,23;45,68;44,37;42,8;41,54;40,56;39,37;37,97;37,37;35,82;34,79;33,79;32,75;31,04;30,31;29,81;28,27;27,89;27,85;26,61;25,12;25,33;25,31;24,1;24,02;23,52;23,17;23,91;23,67;22,93;22,33;22,68;22,04;22,04;22,84;22,23;22,49;23;23,11;23,6;23,9;24,24;24,8;24,97;25,51;26,46;27,23;27,6;28,18;28,83;29,7;30,69;31,86;32,93;33,61;34,43;35,61;36,53;37,49;39,09;40,43;41,33;42,6;44,82;46,35;47,68;49,08;50,71;52,7
2;128,33;127,07;123,18;120,07;117,37;115,08;112,49;109,23;106,26;103,9;101,04;98,03;94,87;93,42;89,96;87,73;85,58;83,17;80,27;77,85;75,43;72,81;71,41;69,91;68,74;66,1;64,06;62,52;61,07;58,94;56,72;55,11;53,28;51,7;50,49;48,81;47,6;46,82;45,67;44,15;43,92;42,1;41,07;40,08;39,01;36,79;36,15;35,85;33,82;33,66;34,03;32,41;30,33;31,03;31,32;29,61;29,72;29,11;28,73;30,11;29,84;28,72;27,79;28,4;27,35;27,32;28,57;27,46;27,78;28,45;28,45;29,05;29,29;29,57;30,19;30,12;30,64;31,78;32,61;32,77;33,22;33,75;34,64;35,68;36,98;38,09;38,51;39,13;40,31;41,05;41,8;43,59;44,92;45,46;46,63;49,3;50,82;51,96;53,2;54,77;56,91
3;135,48;134,57;130,47;127,28;124,59;122,38;119,82;116,45;113,42;111,1;108,18;105,06;101,76;100,5;96,8;94,6;92,46;90;86,94;84,47;81,97;79,2;77,91;76,5;75,47;72,66;70,57;69,08;67,68;65,45;63,11;61,49;59,6;57,99;56,83;55,07;53,87;53,18;52,05;50,46;50,41;48,44;47,4;46,42;45,31;42,81;42,2;42;39,7;39,66;40,23;38,4;36,03;36,98;37,4;35,43;35,62;34,94;34,53;36,24;35,94;34,59;33,48;34,21;32,93;32,88;34,33;32,96;33,28;34,03;33,96;34,59;34,79;35,02;35,64;35,44;35,92;37,13;37,99;38,03;38,38;38,81;39,7;40,77;42,13;43,23;43,46;43,94;45,09;45,71;46,31;48,17;49,45;49,77;50,86;53,73;55,22;56,21;57,33;58,83;61
4;142,89;142,03;137,84;134,6;131,87;129,64;127,06;123,66;120,6;118,28;115,33;112,16;108,79;107,57;103,79;101,57;99,4;96,91;93,79;91,29;88,75;85,9;84,61;83,22;82,2;79,32;77,21;75,72;74,33;72,06;69,68;68,04;66,12;64,5;63,33;61,54;60,32;59,64;58,5;56,87;56,85;54,83;53,77;52,78;51,65;49,05;48,44;48,25;45,87;45,84;46,45;44,55;42,11;43,11;43,55;41,49;41,68;40,95;40,52;42,29;41,97;40,53;39,36;40,09;38,73;38,65;40,13;38,65;38,96;39,71;39,6;40,21;40,37;40,55;41,14;40,89;41,32;42,51;43,36;43,33;43,63;43,98;44,86;45,95;47,29;48,34;48,47;48,84;49,94;50,49;50,99;52,82;54,02;54,23;55,26;58,11;59,54;60,43;61,45;62,86;64,97
5;150,48;149,45;145,27;141,99;139,18;136,87;134,24;130,85;127,78;125,42;122,47;119,3;115,94;114,63;110,89;108,62;106,41;103,9;100,78;98,29;95,72;92,86;91,47;90,04;88,94;86,08;83,97;82,45;81,02;78,75;76,39;74,74;72,82;71,18;69,97;68,16;66,91;66,16;64,99;63,36;63,25;61,26;60,17;59,15;58,01;55,48;54,82;54,57;52,25;52,16;52,66;50,81;48,49;49,39;49,73;47,73;47,86;47,11;46,65;48,28;47,93;46,52;45,37;46,02;44,7;44,59;45,93;44,51;44,77;45,45;45,32;45,88;46;46,16;46,69;46,44;46,82;47,92;48,71;48,68;48,94;49,24;50,1;51,19;52,44;53,41;53,5;53,82;54,84;55,34;55,78;57,51;58,62;58,79;59,78;62,45;63,79;64,62;65,56;66,87;68,85
6;158,19;156,83;152,73;149,42;146,52;144,06;141,36;138,03;134,98;132,54;129,6;126,47;123,18;121,67;118,06;115,74;113,47;110,94;107,89;105,42;102,84;100;98,46;96,93;95,68;92,92;90,81;89,23;87,73;85,51;83,22;81,54;79,64;77,98;76,7;74,91;73,59;72,73;71,51;69,91;69,61;67,71;66,58;65,53;64,38;62,02;61,3;60,93;58,79;58,59;58,87;57,17;55,1;55,76;55,94;54,11;54,12;53,37;52,89;54,22;53,83;52,54;51,48;51,98;50,78;50,64;51,74;50,48;50,68;51,24;51,11;51,57;51,67;51,8;52,26;52,05;52,39;53,33;54,05;54,05;54,3;54,56;55,38;56,46;57,59;58,46;58,55;58,85;59,77;60,25;60,67;62,22;63,24;63,44;64,37;66,75;67,98;68,76;69,65;70,86;72,63
7;165,97;164,14;160,19;156,87;153,86;151,23;148,44;145,19;142,17;139,63;136,71;133,65;130,47;128,7;125,29;122,9;120,55;118,02;115,09;112,63;110,07;107,28;105,54;103,87;102,43;99,81;97,72;96,05;94,46;92,31;90,13;88,42;86,56;84,88;83,5;81,73;80,35;79,33;78,06;76,49;75,95;74,18;73;71,92;70,76;68,66;67,85;67,32;65,43;65,07;65,06;63,57;61,85;62,2;62,16;60,57;60,42;59,7;59,19;60,1;59,69;58,57;57,65;57,94;56,93;56,75;57,55;56,51;56,64;57,04;56,94;57,28;57,36;57,46;57,83;57,7;57,99;58,75;59,37;59,43;59,69;59,91;60,69;61,75;62,73;63,47;63,6;63,91;64,72;65,19;65,62;66,95;67,86;68,14;69,02;71,03;72,12;72,88;73,71;74,8;76,35
8;173,75;171,41;167,64;164,31;161,19;158,37;155,5;152,35;149,36;146,71;143,81;140,84;137,8;135,72;132,55;130,09;127,66;125,13;122,34;119,9;117,36;114,63;112,68;110,86;109,18;106,74;104,67;102,9;101,2;99,15;97,08;95,35;93,52;91,82;90,33;88,6;87,15;85,96;84,61;83,09;82,28;80,64;79,43;78,3;77,12;75,33;74,43;73,73;72,13;71,58;71,24;70;68,67;68,65;68,37;67,07;66,74;66,05;65,51;65,94;65,5;64,59;63,83;63,91;63,11;62,9;63,34;62,58;62,61;62,86;62,77;62,99;63,05;63,13;63,4;63,36;63,61;64,18;64,67;64,79;65,08;65,27;66;67,04;67,83;68,45;68,65;68,98;69,66;70,14;70,59;71,67;72,48;72,86;73,69;75,27;76,22;76,95;77,75;78,72;80,01
